11612.012,2586.616,570.446,354.327,718.841,423.762
11573.666,2569.076,568.167,352.705,712.793,421.496
11621.034,2572.172,569.686,353.516,714.521,422.629
11655.996,2577.331,570.446,354.327,716.249,423.762
11680.809,2583.521,571.965,355.137,719.705,424.895
11687.575,2583.521,571.965,355.137,718.841,424.895
11710.132,2588.680,572.724,355.137,719.705,424.895
11684.191,2582.489,571.205,354.327,717.113,423.762
11686.447,2585.584,571.965,355.137,719.705,423.762
11631.185,2575.267,569.686,353.516,714.521,422.629
11694.342,2584.553,571.965,355.137,718.841,423.762
11648.102,2582.489,570.446,353.516,717.113,422.629
11659.380,2578.362,571.205,354.327,716.249,423.762
11613.140,2571.140,569.686,353.516,713.657,421.496
11678.553,2583.521,571.965,355.137,717.977,423.762
11658.252,2580.426,571.205,354.327,716.249,422.629
11630.057,2577.331,569.686,353.516,714.521,421.496
11627.801,2573.203,569.686,353.516,712.793,422.629
11658.252,2580.426,570.446,354.327,716.249,422.629
11635.695,2576.299,569.686,353.516,714.521,422.629
11684.191,2583.521,571.205,354.327,717.113,423.762
11649.229,2575.267,569.686,353.516,714.521,422.629
11724.793,2587.648,572.724,355.137,719.705,424.895
11670.658,2585.584,570.446,354.327,717.977,423.762
11678.553,2582.489,571.205,354.327,717.113,423.762
11663.892,2581.458,570.446,354.327,716.249,422.629
11616.522,2572.172,568.926,353.516,713.657,422.629
11660.508,2582.489,570.446,354.327,717.113,423.762
11666.146,2582.489,570.446,354.327,716.249,422.629
11663.892,2581.458,570.446,354.327,715.385,422.629
11663.892,2583.521,570.446,354.327,716.249,422.629
11637.951,2579.394,569.686,353.516,715.385,422.629
11636.823,2579.394,569.686,353.516,715.385,422.629
11653.741,2579.394,569.686,353.516,714.521,422.629
11722.538,2589.712,571.965,355.137,719.705,424.895
11693.215,2584.553,570.446,354.327,717.977,423.762
11678.553,2589.712,570.446,354.327,719.705,423.762
11694.342,2595.902,571.205,354.327,722.297,423.762
11685.319,2585.584,570.446,354.327,717.977,423.762
11663.892,2579.394,569.686,354.327,715.385,422.629
11642.463,2580.426,569.686,353.516,715.385,422.629
11776.673,2594.870,574.243,356.759,721.433,427.162
11786.823,2605.188,573.484,356.759,724.889,427.162
11842.086,2611.378,575.763,358.381,726.617,429.428
11833.063,2605.188,574.243,357.570,724.889,429.428
11902.988,2620.664,577.282,359.191,731.801,431.694
11882.688,2620.664,576.522,359.191,731.801,430.561
11820.658,2610.347,574.243,357.570,726.617,429.428
11851.109,2614.474,575.763,358.381,728.345,429.428
11711.260,2588.680,570.446,355.137,719.705,424.895
