12442.085,2786.777,612.982,379.462,762.904,455.488
12400.356,2783.682,612.223,378.651,761.176,454.355
12371.033,2777.491,610.703,377.840,758.584,453.222
12345.093,2773.365,609.944,377.029,756.856,452.089
12403.739,2781.618,612.223,378.651,760.312,454.355
12365.394,2777.491,611.463,377.840,757.720,453.222
12311.259,2768.206,609.944,376.219,754.264,450.956
12360.883,2776.460,611.463,377.840,757.720,453.222
12337.198,2772.333,610.703,377.840,755.992,452.089
12297.725,2767.174,609.184,377.029,753.400,449.823
12357.499,2776.460,611.463,377.840,757.720,452.089
12337.198,2771.301,610.703,377.029,755.992,450.956
12293.214,2764.079,608.425,376.219,752.536,449.823
12351.860,2773.365,610.703,377.840,755.992,452.089
12325.920,2771.301,609.944,377.029,755.128,450.956
12333.814,2769.237,610.703,377.840,754.264,450.956
12239.078,2760.983,607.665,375.408,749.944,447.557
12257.123,2763.047,608.425,375.408,750.808,448.690
12341.710,2775.428,611.463,377.840,755.992,452.089
12277.424,2767.174,609.184,376.219,752.536,449.823
12351.860,2776.460,612.223,378.651,755.992,452.089
12318.025,2772.333,611.463,377.029,753.400,450.956
12350.732,2776.460,612.223,378.651,755.992,452.089
12495.093,2790.904,617.540,381.894,761.176,456.621
12846.972,2864.159,631.212,391.624,785.368,470.218
12934.941,2867.254,634.250,394.056,786.232,473.617
12851.483,2872.413,631.972,391.624,787.960,470.218
13001.483,2900.271,638.048,395.678,796.600,475.883
12965.393,2890.985,635.770,394.056,794.008,473.617
13084.941,2916.779,639.568,397.300,802.648,478.149
13144.716,2921.938,641.846,398.921,805.240,479.282
13107.498,2918.842,641.087,398.111,803.512,479.282
13066.896,2914.715,639.568,396.489,801.784,477.016
13035.317,2904.398,637.289,396.489,798.328,475.883
13082.686,2916.779,640.327,397.300,802.648,478.149
13057.874,2911.620,638.808,396.489,800.920,477.016
13079.303,2916.779,640.327,397.300,801.784,478.149
13034.189,2905.429,638.808,395.678,797.464,475.883
13060.130,2912.652,639.568,396.489,799.192,477.016
13012.761,2902.334,636.529,394.867,795.736,474.750
13056.746,2913.683,638.808,396.489,799.192,477.016
13002.610,2905.429,636.529,394.867,796.600,474.750
13044.340,2911.620,638.808,396.489,799.192,477.016
13000.355,2904.398,636.529,395.678,795.736,474.750
13029.679,2910.588,638.048,395.678,797.464,475.883
12995.844,2903.366,636.529,394.867,795.736,474.750
13003.738,2906.461,637.289,395.678,796.600,474.750
12954.114,2896.144,635.010,394.056,792.280,473.617
12963.138,2898.207,636.529,394.056,793.144,473.617
12709.378,2866.223,626.655,387.570,782.776,464.552
