12392.462,2790.904,614.501,378.651,754.264,452.089
12383.438,2782.650,613.742,378.651,751.672,450.956
12351.860,2784.714,612.223,377.840,751.672,449.823
12296.597,2770.269,610.703,376.219,746.488,447.557
12302.236,2778.523,611.463,376.219,748.216,448.690
12299.980,2774.396,611.463,377.029,747.352,448.690
12276.296,2774.396,611.463,376.219,747.352,447.557
12263.891,2766.142,610.703,376.219,743.032,447.557
12225.544,2763.047,608.425,375.408,742.168,445.290
12196.221,2767.174,608.425,374.597,742.168,445.290
12230.056,2764.079,609.944,375.408,741.304,446.424
12272.913,2778.523,611.463,376.219,747.352,447.557
12253.740,2778.523,610.703,376.219,747.352,447.557
12171.409,2757.888,606.905,373.786,740.440,443.024
12240.206,2771.301,609.184,375.408,747.352,446.424
12249.229,2775.428,609.944,376.219,749.080,446.424
12278.552,2772.333,610.703,376.219,746.488,447.557
12234.567,2767.174,609.184,375.408,744.760,446.424
12243.590,2769.237,609.944,375.408,745.624,446.424
12201.860,2757.888,609.184,374.597,742.168,445.290
12147.725,2753.761,606.905,373.786,738.712,443.024
12253.740,2769.237,610.703,376.219,744.760,446.424
12318.025,2776.460,611.463,377.029,747.352,448.690
12448.853,2796.063,615.261,380.273,755.992,452.089
12497.349,2805.349,616.020,380.273,758.584,454.355
12537.950,2803.285,617.540,381.894,758.584,455.488
12574.040,2819.793,618.299,381.894,765.496,456.621
12606.747,2819.793,619.059,382.705,766.360,457.754
12576.296,2811.540,618.299,381.894,763.768,456.621
12558.251,2810.508,617.540,381.894,762.040,455.488
12523.288,2808.444,616.780,381.083,760.312,454.355
12515.394,2806.381,616.780,381.083,759.448,454.355
12464.642,2800.190,615.261,379.462,757.720,453.222
12512.010,2807.412,616.020,381.083,760.312,455.488
12502.987,2809.476,617.540,381.083,761.176,454.355
12463.514,2800.190,615.261,380.273,756.856,453.222
12642.837,2838.365,622.857,384.327,768.952,458.887
12643.965,2827.016,622.097,384.327,766.360,458.887
12638.326,2825.984,622.097,384.327,768.088,458.887
12636.070,2830.111,622.097,384.327,768.952,458.887
12426.296,2803.285,614.501,379.462,757.720,450.956
12447.725,2797.095,615.261,379.462,755.992,452.089
12500.732,2799.158,616.780,381.083,755.992,454.355
12525.544,2809.476,618.299,381.894,760.312,455.488
12484.942,2810.508,616.780,381.083,759.448,454.355
12486.070,2807.412,616.780,381.894,759.448,454.355
12461.259,2804.317,616.780,381.083,757.720,453.222
12482.687,2806.381,617.540,381.083,758.584,454.355
12442.085,2800.190,616.020,380.273,756.856,453.222
12429.680,2792.968,616.020,380.273,755.128,452.089
